Date,0
1950-01-01,102.0
1950-02-01,111.375
1950-03-01,120.75
1950-04-01,130.125
1950-05-01,139.5
1950-06-01,148.875
1950-07-01,158.25
1950-08-01,167.625
1950-09-01,177.0
1950-10-01,186.375
1950-11-01,195.75
1950-12-01,205.125
1951-01-01,214.5
1951-02-01,223.875
1951-03-01,233.25
1951-04-01,242.625
1951-05-01,252.0
1951-06-01,261.375
1951-07-01,270.75
1951-08-01,280.125
1951-09-01,289.5
1951-10-01,298.875
1951-11-01,308.25
1951-12-01,317.625
1952-01-01,327.0
1952-02-01,336.375
1952-03-01,345.75
1952-04-01,355.125
1952-05-01,364.5
1952-06-01,373.875
1952-07-01,383.25
1952-08-01,392.625
1952-09-01,402.0
1952-10-01,411.375
1952-11-01,420.75
1952-12-01,430.125
1953-01-01,439.5
1953-02-01,448.875
1953-03-01,458.25
1953-04-01,467.625
1953-05-01,477.0
1953-06-01,486.375
1953-07-01,495.75
1953-08-01,505.125
1953-09-01,514.5
1953-10-01,523.875
1953-11-01,533.25
1953-12-01,542.625
1954-01-01,552.0
1954-02-01,561.375
1954-03-01,570.75
1954-04-01,580.125
1954-05-01,589.5
1954-06-01,598.875
1954-07-01,608.25
1954-08-01,617.625
1954-09-01,627.0
1954-10-01,636.375
1954-11-01,645.75
1954-12-01,655.125
1955-01-01,664.5
1955-02-01,673.875
1955-03-01,683.25
1955-04-01,692.625
1955-05-01,702.0
1955-06-01,711.375
1955-07-01,720.75
1955-08-01,730.125
1955-09-01,739.5
1955-10-01,748.875
1955-11-01,758.25
1955-12-01,767.625
1956-01-01,777.0
1956-02-01,786.375
1956-03-01,795.75
1956-04-01,805.125
1956-05-01,814.5
1956-06-01,823.875
1956-07-01,833.25
1956-08-01,842.625
1956-09-01,852.0
1956-10-01,861.375
1956-11-01,870.75
1956-12-01,880.125
1957-01-01,889.5
1957-02-01,898.875
1957-03-01,908.25
1957-04-01,917.625
1957-05-01,927.0
1957-06-01,936.375
1957-07-01,945.75
1957-08-01,955.125
1957-09-01,964.5
1957-10-01,973.875
1957-11-01,983.25
1957-12-01,992.625
1958-01-01,1002.0
1958-02-01,1006.3611111111111
1958-03-01,1010.7222222222222
1958-04-01,1015.0833333333333
1958-05-01,1019.4444444444445
1958-06-01,1023.8055555555555
1958-07-01,1028.1666666666665
1958-08-01,1032.5277777777778
1958-09-01,1036.888888888889
1958-10-01,1041.25
1958-11-01,1045.611111111111
1958-12-01,1049.9722222222222
1959-01-01,717.1666666666666
